,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
1952,1952,1921702451,"(25.5834314, 45.6932179)",25.5834314,45.6932179,0.21197593300701006,0.2222222222222222,6.6818858777212705e-15,0.8071678495685662,0.4218407942682617,0.42686727731309665,0.7710559563730853
1953,1953,7978349873,"(25.5882525, 45.6765478)",25.5882525,45.6765478,0.3539379425581237,0.3333333333333333,2.7893852088515036e-14,0.852635750448863,0.2947040405699888,0.29858786317691044,0.6489310634491992
1954,1954,2571836468,"(25.5831795, 45.6938483)",25.5831795,45.6938483,0.15625356751962674,0.2222222222222222,6.328114823609313e-15,0.7151675903753408,0.24818496093717807,0.2514319059012717,0.8361143070036102
1955,1955,2684765819,"(25.6087476, 45.6510923)",25.6087476,45.6510923,0.3409226785842285,0.2222222222222222,5.527970522668994e-10,0.8765183700956961,0.1048472686916544,0.10607543068730438,0.7034824985645547
1956,1956,10275491537,"(25.5916043, 45.665903)",25.5916043,45.665903,0.30497865841040883,0.2222222222222222,1.6984935724513976e-12,0.9193051910114336,0.02295687590931504,0.02332676480855164,0.831325116236386
1957,1957,2001693005,"(25.5988071, 45.6664828)",25.5988071,45.6664828,0.2847363015606903,0.2222222222222222,1.8598007162643692e-11,0.8663407017832208,0.2671043603544789,0.2702667360188448,0.806313211883353
1958,1958,2265531477,"(25.5987934, 45.666468)",25.5987934,45.666468,0.29179756740918444,0.2222222222222222,5.795916236285385e-12,0.8437645062667093,0.2671080962798101,0.2702705125295493,0.8454328504886256
1959,1959,2001719188,"(25.6109205, 45.669946)",25.6109205,45.669946,0.41571019311765417,0.5555555555555556,4.3041588679213065e-12,0.7998255064107435,0.09046254081436843,0.08883077711233446,0.7119840865238121
1960,1960,6723299596,"(25.6105437, 45.6689238)",25.6105437,45.6689238,0.2864753368954675,0.3333333333333333,1.5376292429302949e-12,0.7854583112925698,0.0625962452158864,0.06049628043199684,0.8882112048683295
1961,1961,2046127341,"(25.6112029, 45.6707077)",25.6112029,45.6707077,0.29002510043053176,0.3333333333333333,6.076360487692604e-12,0.7947187106598232,0.07936202586525017,0.07863560737630201,0.7672388630403396
1962,1962,2006604593,"(25.6078655, 45.6702349)",25.6078655,45.6702349,0.3691368072789162,0.5555555555555556,6.206216805713119e-12,0.8050782741504386,0.03634202551339196,0.03585241817651536,0.8721119091159877
1963,1963,6476401636,"(25.6095095, 45.6661464)",25.6095095,45.6661464,0.36157276713186226,0.3333333333333333,2.1239074551741935e-10,0.8455239561779215,0.03298003180799849,0.03345427159280701,0.7983265296256442
1964,1964,2005061829,"(25.6063325, 45.6689782)",25.6063325,45.6689782,0.40597708670488636,0.5555555555555556,1.0103646677504286e-11,0.8062172599701761,0.003252591046405945,0.00316318176309461,0.7623902382647334
1965,1965,2288848525,"(25.6011066, 45.6708675)",25.6011066,45.6708675,0.4412629439638801,0.5555555555555556,3.6736189656966925e-11,0.8360693439918799,0.012041278325627227,0.011567636805622103,0.4412811118655173
1966,1966,2003082073,"(25.5930829, 45.6714505)",25.5930829,45.6714505,0.4246077226936191,0.5555555555555556,2.2799251993107203e-11,0.8277196784121614,0.004238428271719485,0.004284990896052048,0.7494380392730982
1967,1967,2014751280,"(25.5933912, 45.673878)",25.5933912,45.673878,0.37275585469897027,0.5555555555555556,3.265029047773375e-11,0.8123425207468103,0.0003073825560241405,0.0003191151545501941,0.8176307749704834
1968,1968,6409212686,"(25.5914688, 45.6714797)",25.5914688,45.6714797,0.1369587195927641,0.1111111111111111,7.104236909478699e-12,0.8070566260171954,0.0,0.0,0.50308272380786
1969,1969,2005061825,"(25.6067293, 45.6689385)",25.6067293,45.6689385,0.3743767787029346,0.5555555555555556,1.3090575355841932e-11,0.8103755745845332,0.0052346536932435595,0.005112929050181819,0.7651643501436702
